Any;ARR_hirundo rustica;ARR_cuculus canorus;ARR_luscinia megarhynchos;ARR_apus apus;AP_apis mellifera;AP_pieris rapae;FL_prunus dulcis;FL_prunus armeniaca;FL_cydonia oblonga;FL_malus domestica;FL_citrus sinensis;FL_juglans regia;FL_vitis vinifera;temp_gen;temp_feb;temp_mar;temp_abr;temp_mai;temp_jun;prec_gen;prec_feb;prec_mar;prec_abr;prec_mai;prec_jun
1945;78,841;93,393;;104,003;69,392;70,016;48,702;66,013;89,91;87,489;102,714;97,608;130,047;2,238;8,339;10,039;15,089;16,154;20,196;83,716;4,769;24,515;22,292;36,583;34,803
1946;78,964;;;;;;55,052;76,92;102,396;103,312;108,208;113,139;149,842;3,857;7,743;8,818;11,238;12,836;18,088;43,167;22,502;73,361;131,388;126,379;28,928
1947;79,036;;;111,492;;;58,83;73,961;99,671;100,866;109,19;106,977;142,277;4,741;6,372;10,509;13,33;15,016;20,688;55,396;162,988;134,33;24,236;65,411;27,613
1948;81,262;;106,765;102,58;;;43,172;67,704;91,169;93,461;98,1;102,128;143,15;7,126;8,155;11,902;11,643;14,285;19,5;130,78;60,014;33,644;68,34;90,45;16,647
1949;78,272;;104,621;108,198;;;50,357;76,589;96,052;101,484;96,409;104,872;140,269;6,057;7,726;8,518;14,097;14,132;19,53;28,574;27,752;60,923;36,962;62,887;39,1
1950;79,114;92,989;108,242;104,36;;;48,099;71,021;91,455;97,207;104,32;104,74;141,879;5,398;8,062;9,968;11,1;14,775;20,548;28,474;50,764;33,676;32,033;82,079;32,903
1951;76,455;;107,641;103,907;;;63,081;80,633;100,028;102,782;117,187;108,661;144;5,938;5,786;8,829;11,232;12,309;18,762;82,778;90,562;97,531;68,562;72,125;37,624
1952;76,976;89,087;102,515;106,283;69,153;77,403;51,229;73,914;97,384;97,924;104,727;104,454;140,68;3,848;6,146;11,596;11,786;15,469;20,365;55,839;26,204;92,139;64,474;70,993;34,788
1953;79,161;92,481;103,929;109,599;74,604;79,85;56,605;80,261;102,528;104,103;113,222;110,038;141,965;3,91;5,149;8,515;11,78;17,161;17,563;31,458;32,128;32,785;66,528;20,649;74,069
1954;76,286;94,992;105,625;109,24;76,039;85,762;52,85;79,448;102,293;108,895;112,755;115,972;147,69;3,908;5,268;9,053;10,515;14,925;18,45;41,483;47,551;86,649;51,286;52,298;40,312
1955;76,397;92,824;104,871;107,861;69,873;79,193;49,354;80,793;98,982;105,479;102,098;111,91;135,87;8,721;7,066;8,138;13,425;16,998;19,378;126,24;94,136;46,451;29,674;39,183;51,281
1956;79,427;97,309;108,854;108,636;86,703;89,187;50,356;86,493;109,66;113,052;108,473;118,857;149,325;6,689;1,504;9,008;10,665;15,084;18,007;81,13;44,084;124,124;89,011;58,984;23,07
1957;75,12;95,347;110,016;109,714;68,052;72,539;52,231;66,174;90,395;92,296;111,272;98,09;150,3;3,696;8,738;11,952;10,826;13,87;17,877;33,008;54,368;39,155;62,516;76,993;64,858
1958;76,472;97,097;110,624;108,182;72,224;82,402;52,396;70,41;101,034;103,67;106,76;114,357;148,46;5,657;8,518;9,072;10,512;16,567;18,212;67,778;38,15;87,73;46,168;44,947;55,213
1959;78,315;93,892;104,686;108,848;68,407;79,301;48,092;73,871;98,728;103,493;103,416;110,638;145,156;7,008;6,814;9,819;11,735;14,585;19,298;55,532;44,795;93,223;54,511;85,869;37,411
1960;79,437;93,319;107,5;106,484;71,366;82,138;45,231;71,052;95,768;100,842;98,75;107,828;141,269;6,014;7,399;10,253;16,5;16,501;20,642;83,242;118,122;106,146;28,055;57,681;51,464
